"X","Y","Z","Intensity","ReturnNumber","NumberOfReturns","ScanDirectionFlag","EdgeOfFlightLine","Classification","Synthetic","KeyPoint","Withheld","Overlap","ScanAngleRank","UserData","PointSourceId","GpsTime","Red","Green","Blue"
-5599.548,-35109.064,3.415,811.000,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,-4.000,0.000,95.000,188552.253,19018.000,20046.000,21074.000
-5597.119,-35108.045,3.601,397.000,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,-4.000,0.000,95.000,188552.253,19532.000,20560.000,21074.000
-5598.009,-35108.858,3.498,274.000,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,-4.000,0.000,95.000,188552.260,18761.000,19275.000,19789.000
-5596.970,-35108.414,3.597,345.000,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,-4.000,0.000,95.000,188552.260,18504.000,19018.000,20303.000
-5596.249,-35108.120,3.616,447.000,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,-4.000,0.000,95.000,188552.260,19532.000,19789.000,20817.000
-5595.892,-35107.970,3.627,564.000,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,-4.000,0.000,95.000,188552.260,22873.000,23644.000,23901.000
-5595.539,-35107.828,3.634,677.000,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,-4.000,0.000,95.000,188552.260,23644.000,24158.000,24415.000
-5599.636,-35109.948,3.406,1007.000,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,-4.000,0.000,95.000,188552.267,21331.000,21588.000,21845.000
-5596.111,-35108.488,3.604,437.000,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,-4.000,0.000,95.000,188552.267,20303.000,21074.000,21331.000
-5595.758,-35108.346,3.614,488.000,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,-4.000,0.000,95.000,188552.267,22102.000,23130.000,23901.000
-5595.411,-35108.199,3.629,582.000,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,-4.000,0.000,95.000,188552.267,23130.000,24158.000,24415.000
-5595.069,-35108.055,3.634,649.000,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,-4.000,0.000,95.000,188552.267,23644.000,24415.000,24672.000
-5598.759,-35110.040,3.410,1476.000,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,-4.000,0.000,95.000,188552.273,22102.000,22873.000,23644.000
-5597.005,-35109.315,3.520,309.000,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,-4.000,0.000,95.000,188552.273,17990.000,18761.000,20046.000
-5594.194,-35108.134,3.644,250.000,3.000,3.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,-4.000,0.000,95.000,188552.273,24415.000,25186.000,25957.000
-5599.251,-35110.710,3.426,613.000,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,-4.000,0.000,95.000,188552.280,19789.000,20560.000,21588.000
-5598.522,-35110.428,3.414,1196.000,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,-4.000,0.000,95.000,188552.280,22616.000,22873.000,23387.000
